OB_DT,PMAIZMT
5/1/2018,179.1790589285710
6/1/2018,165.1402855442180
7/1/2018,156.5542654761900
8/1/2018,162.5222585403730
9/1/2018,154.9450033834590
10/1/2018,160.3655650621120
11/1/2018,160.8782076785710
12/1/2018,167.4898805555560
1/1/2019,166.8462414965990
2/1/2019,169.6562834586470
3/1/2019,166.3213319727890
4/1/2019,161.6533865646260
5/1/2019,171.1801535714290
6/1/2019,195.1679223214290
7/1/2019,189.4863732142860
8/1/2019,163.6286142857140
9/1/2019,157.3744366071430
10/1/2019,167.2977940993790
11/1/2019,166.3617855263160
12/1/2019,167.0590173214290
1/1/2020,171.8141352040820
2/1/2020,168.7445984962410
3/1/2020,162.1791482142860
4/1/2020,147.0121602040820
5/1/2020,143.9892437500000
6/1/2020,148.0423803571430
7/1/2020,152.5876196428570
8/1/2020,149.3929998299320
9/1/2020,166.6025335034010
10/1/2020,186.7663875000000
11/1/2020,190.6250375939850
12/1/2020,199.1844175170070
1/1/2021,231.7544614661650
2/1/2021,245.5540565789470
3/1/2021,245.7603568322980
4/1/2021,268.6224488095240
5/1/2021,304.2975496598640
6/1/2021,292.5237267857140
7/1/2021,278.4457556122450
8/1/2021,257.0207553571430
9/1/2021,235.8156035714290
10/1/2021,239.6024508503400
11/1/2021,248.7677460714290
12/1/2021,264.5731467687070
1/1/2022,276.7191782142860
2/1/2022,292.6715930451130
3/1/2022,335.9306841614910
4/1/2022,348.5071169642860
5/1/2022,344.9092996031750
6/1/2022,335.7171340136050
7/1/2022,312.6820419642860
8/1/2022,293.9307903338510
9/1/2022,312.5461278911560
10/1/2022,343.5532833333330
11/1/2022,320.9296828571430
12/1/2022,302.2354051020410
1/1/2023,302.8399883928570
2/1/2023,298.2453033834590
3/1/2023,284.9574049689440
4/1/2023,291.1797449248120
5/1/2023,268.1725263605440
6/1/2023,266.9352396258500
7/1/2023,235.2719472789120
8/1/2023,207.6758886645960
9/1/2023,223.8476664285710
10/1/2023,221.9025187500000
11/1/2023,209.0402968303570
12/1/2023,207.3979688909770
1/1/2024,198.7579285289120
2/1/2024,188.9477444642860
3/1/2024,190.2272114285710
4/1/2024,190.9000500000000
5/1/2024,201.0194705357140
6/1/2024,191.2409429464290
7/1/2024,177.7677084464290
8/1/2024,169.2967424107140
9/1/2024,183.6558276597740
10/1/2024,189.5879058618010
11/1/2024,201.3082701884920
12/1/2024,202.8299610267860
1/1/2025,214.3599267857140
2/1/2025,221.2545443139100
